key,value
ozvENhPXRdEQInqYZOKUJWMvmrungjJy,tzfLzkVgZkBHUrpiYpsA;dkNDQHxviZCGoDYWbPAd;QlaozYoMAxYnynJBSmiB||vgkjdbqcFTXKDbVLWaWQ;btKPvNowtweGisLHsLZx;obUgNRsqUshNhjINaZwh||QOwRVMWEQdTzMQRDhXbL;hgeKGyDKRNJFJMlbSrTq;xvBVIRkjvgxWZFfvztRt||IPaNJmRoUpZIDkevBTmC;kMAoNjsFlzYjrECSlqBL;qJBBECuEiunWozwfMlsy||UGvIcmEDIidSNNRuwgID;ONaWeuCefBBZtrSIGhEb;NCiPLNEvuoAkxVvDYicA
mWhgAKmKQSyFFOQhEccCpWDfeuQPcmRP,LcqQCezDvfQbPguyQzic;yGsuiTelJhmWIJVicXYm;sxOdbGWqWLvPpWKPKuCl||xcvOiNewRJJVBvTCFjlW;uFIUJpGaSeFEGCvAbdVW;rsZJnRSulJrZYKTCqRTn||lAVTAVwJczbFlratZasx;iGUiVGKQaiwAfFwUVawH;zhPxjImqEMFfIOJIOcej||RGIriepgCUCFVNCcQMkJ;WIjKxsXuiqnPqdRBFdrZ;jkvjtVCFGRSKYrxagQPl||ptuFrwqfORkAclqUaKZS;LfYTvuLVBWOvXOMHskvt;KnHCFkbAyptrkorZkDNh
vLXZFKCidjxKSaPyAeXSeDzGcOMRcBMj,BzrafUQavcWsyBwmnFcI;mSWaHTEvgUlegSWZmVEL;FKYWoSxxIKRkEPipRsVf||XmhQsxdODcCKiBtrsdsI;HrZRRpzBZJBouRsJfnwW;FCBwqZQokLKzjQeZFbUm||TEjQrddnLytHfWSfEEAm;wDQjMdpTycVSsedvYjDm;bKJuGbaIHwXNdgmfJrRb||NnKPIABIgycbTlPotonU;cgAIcpjMAyIDveNmUFoc;FuieRdYyFZDTUYUazRRu||RZZuEAFFXIvcrxbHCseI;wyDRqNeHEeaVVVYwkMkp;KrHdcqdUOAVBjdWRiXTO
DgpPCIDJDhsvZJvWgcZMmKwzvMoDAWNB,AsdeNeZDpVUaZqIZIsQX;XvFpozzbjPSKrscGNLGU;rbCwstyXiZmfFdwJeBvD||wgwdSqtRSLoedYBhCLjv;MeQdZNcyNxUdPRDsjPCX;TKldPILfNMNyTMdwUpGn||NnShrpFFmRvvQJQJOOqS;gipeJMwvBtPhRjxIcTcg;TRfnHtPcOPckwqGfootn||hdlOIhbPzRgHLzpYaWpr;LcJIzXzLcAutAitsyAjb;eeoZqVnqKEhsKUQgvWAu||MobXayBPNiyXviSoqDnJ;TJgSkkQQWmYMTmPqdFJZ;sOsAugFHEnKagQylDdCE
diWtaSHoOvKRDcVYOyyDSMKhjKAGrskc,akOrTABHWsJAcIDFfLyt;VnAOfYcexbNvoSYZelna;eLNYhGQHxHsVxzUFnOZL||QykpjWtuTmidehgFGYHK;SGJtDfGgCYBmABxiLYgm;uSqhTvARTIrHLKKQObki||MeQxeajMcXXYujhwfouy;IIihvbqvpxqGbtqXouxk;WuPALpwEvAXtllmtZeCD||ICOgVnJLukHuYLJhjbQA;pCfbJiymRbEnBKSDMeJT;bwtmxOqEyLuBlYDXVZLH||DFJjVZEpKKHhfSPZxygi;wOFyPWYXvgiCYuggtpvi;mUlHbfXqEHLgwPZbMSDd
MHuGJiJxBLzkpOWJvOpcwpFRsNpXivpI,zWbknVuPGeQRijmKKdMm;vIguycrjUwDQwcZmQQZL;NixWQRJwrxASQaqjWrIv||CwRLyAHEldGtcWiePDtZ;cPDAimstqfWkuTpLJzJD;zrqvwUbNeiNnAaJwEwmv||VoSyUgbaEFXpibajoUoF;LbtKKbhPgiPUXjpAMItt;DquPEHAZheMvVqqFqTis||RTgGhQRxrapUpftvNClx;CjPcvlxNslNjCSwHwwqX;bMGJgiYZXLzQVcPHWjse||ivYmdcIsvaDGehANaQzn;jXzYidONnELDKwsSwiuq;ESKjXZDMpmOcRsZIBAhY
yYffJwtEkBDYPPAnTNpVsBZSJeszRUYY,yOxiyMdOkXcqiPbMcLmo;oaeScrVGEsrxfiTdjfjR;bWMLihIlJCPhgMLhUpKP||jzoeWbQhBIsIwHetmaMy;LlEYFNGRZCVkhPphJtUp;QPzjrgQEcADZHlEUESGR||bLhHNnDmQUKoDKymaVGf;AcDIjRADbyPENpzbvbbH;jsyrInneoXbsBmqcGcun||bEcvBVKmKvFEzBPPnvHB;fdYhSMYhbORMcZVGtIeh;YCoLiVVFiPCrCAkxopJa||dNabuOqDVcQeiwOpURlR;RWXUkaNSlUjLihFGtAQC;cQUqJnysSNMPWJLNlIZR
BpqHeUHKmjvelLNROGVuscHWQhvpTpYB,UAnPlFPRiMXviGleYFai;FJkdEHlUDMSvIKRBbxfD;fZXYuAqSPQrMWbSxRVTa||eQXLamyQGGMewEcIhrtC;hhDqlVdPuhIWANzUlcga;slWsZOwztDSkDPtcpOfD||LyUdZzYdRamohDVnfRZv;bVvUOIDTFgEkXvTOhmBz;CoEkNGEEEiBibllFbsWo||BSKuyvXqmocYjmqPmUFe;qeyuhuxysuzXvCfvrmqY;yCswblyQLFdoaTMVTDoX||QEqKpZFwKAjdBAYtkESC;nkTFAZSCpHMgOIAvJbOa;hARvBSgOKtlrnvVLKVQo
nGduYbbuVFeTqlPGZpEUUiQtsCUpMNYd,DsuIDaXLKSNuPeROFWgx;tdFCDWkJvbuLNagDMmQT;fhjkRMjZsVGcCrfCspee||dbWoQThkJUKEtNdYCfAg;izVfoXsNoVfYyvkTrsel;TyhZXnQWwmpjLCDIXAgr||MiPvWkixQDavFHhgvmJc;awZZnOAMrDippEvJwZhD;JsywkpnBubhrxcLApxBH||pZRcLcxczVaWDVMkJQQm;rmCRDkUhAOIegvqJwDMz;mkBXPJVuecelgvQpoVgj||RRVtuLELPHvCXnwawATr;dnWNsNJCzcwWvEDMKgju;TjIPkRIjsBQqfudqPVmQ
nDSbhUKvwuIZAEGEKoxVsZvLlbLlcLeJ,oAVKgHjAiOaFLYQCRcve;GkRRZBCgjHaqkdgvKhJh;uTVKQplxNVMRAZkRzRYU||attjArxVERRYLUSzeeMl;ChAEusvPMGahClUyBvkT;mtWcmqqTIuSFWjBvJvaX||bxObNEnBpbMxXoGObALP;OLeDInfGqKfSWhSMecxJ;IDasXQKaieNiYeBqgIis||ZGLqOOcGuaQahiaiDvjN;zVOAjwagxKpzKdMZawEV;MspRzTuVRiLyIOyDErrp||ataTidbxdbSrHzLAoXKy;TlMdEZisZEHfToAdvJwH;CXqcpAMSMhIGBATbkHAm
